1774920688.151941,541,512,401,886,599,0
1774920688.159877,548,519,401,894,599,0
1774920688.167813,548,519,401,894,599,0
1774920688.175253,558,524,401,908,599,0
1774920688.1836846,558,524,401,908,599,0
1774920688.191125,565,531,401,918,599,0
1774920688.199061,565,531,401,918,599,0
1774920688.206501,573,538,401,930,599,0
1774920688.215429,573,538,401,930,599,0
1774920688.223365,580,548,401,945,599,0
1774920688.231797,585,554,401,949,599,0
1774920688.2397332,585,554,401,949,599,0
1774920688.2481651,595,559,401,966,599,0
1774920688.255605,595,559,401,966,599,0
1774920688.2650292,601,567,401,978,599,0
1774920688.2724693,608,578,401,984,599,0
1774920688.2833812,608,578,401,984,599,0
1774920688.2908213,613,582,401,995,599,0
1774920688.2987568,619,589,401,1011,599,0
1774920688.307189,619,589,401,1011,599,0
1774920688.3156211,624,595,401,1017,599,0
1774920688.324053,632,602,401,1026,599,0
1774920688.3324852,632,602,401,1026,599,0
1774920688.3409166,638,608,401,1043,599,0
1774920688.3488536,638,608,401,1043,599,0
1774920688.3562932,638,608,401,1043,599,0
1774920688.365717,647,616,401,1053,599,0
1774920688.3736527,647,616,401,1053,599,0
1774920688.3820848,650,625,401,1069,599,0
1774920688.390021,650,625,401,1069,599,0
1774920688.398453,650,637,401,1084,599,0
1774920688.405397,650,637,401,1084,599,0
1774920688.4138288,650,643,401,1098,599,0
1774920688.421269,650,651,401,1097,599,0
1774920688.4306931,650,655,401,1097,599,0
1774920688.4381332,650,655,401,1097,599,0
1774920688.4460695,650,662,401,1096,599,0
1774920688.454501,650,667,401,1097,599,0
1774920688.461941,650,667,401,1097,599,0
1774920688.469877,650,672,401,1097,599,0
1774920688.477317,650,672,401,1097,599,0
1774920688.4857492,650,680,401,1097,599,0
1774920688.4941812,650,680,401,1097,599,0
1774920688.5031092,650,680,401,1097,599,0
1774920688.5105495,650,680,401,1096,599,0
1774920688.5189812,650,680,401,1097,599,0
1774920688.527909,650,680,401,1097,599,0
1774920688.536341,650,680,401,1097,599,0
1774920688.5437808,650,680,401,1097,599,0
1774920688.552709,650,680,401,1097,599,0
1774920688.5606449,650,680,401,1097,599,0
1774920688.569077,650,680,401,1096,599,0
1774920688.5765169,650,680,401,1096,599,0
1774920688.585445,650,680,401,1097,599,0
1774920688.5943732,650,680,401,1097,599,0
1774920688.6028056,650,680,401,1097,599,0
1774920688.6112368,650,680,401,1097,599,0
1774920688.619669,650,680,401,1097,599,0
1774920688.627605,650,680,401,1097,599,0
1774920688.6360369,650,680,401,1097,599,0
1774920688.6434772,650,680,401,1097,599,0
1774920688.653397,650,680,401,1097,599,0
1774920688.660837,650,680,401,1097,599,0
1774920688.6692688,650,680,401,1097,599,0
1774920688.6767092,650,680,401,1097,599,0
1774920688.6846447,650,680,401,1097,599,0
1774920688.693077,650,680,401,1097,598,0
1774920688.7010128,650,680,401,1097,598,0
1774920688.7094448,650,680,401,1097,599,0
1774920688.7178767,650,680,401,1097,599,0
1774920688.725317,650,680,401,1097,599,0
1774920688.733749,650,680,401,1097,599,0
1774920688.7411888,650,680,401,1096,599,0
1774920688.749125,650,680,401,1097,599,0
1774920688.757061,650,680,401,1097,599,0
1774920688.765493,650,680,401,1097,599,0
1774920688.7739246,650,680,401,1097,599,0
1774920688.7818608,650,680,401,1097,599,0
1774920688.789301,650,680,401,1097,599,0
1774920688.798229,650,680,401,1097,599,0
1774920688.8056686,650,680,401,1097,599,0
1774920688.8145967,650,680,401,1097,599,0
1774920688.8230293,650,680,401,1097,599,0
1774920688.8314612,650,680,401,1097,599,0
1774920688.839397,650,680,401,1097,599,0
1774920688.848821,650,680,401,1097,599,0
1774920688.8562608,650,680,401,1097,599,0
1774920688.8641965,650,680,401,1097,599,0
1774920688.8726292,650,680,401,1097,599,0
1774920688.881061,650,680,401,1097,599,0
1774920688.888501,650,680,401,1097,599,0
1774920688.8954446,650,680,401,1097,599,0
1774920688.9038765,650,680,401,1097,599,0
1774920688.9128053,650,680,401,1097,599,0
1774920688.922229,650,680,401,1097,599,0
1774920688.9311566,650,680,401,1097,599,0
1774920688.9390926,650,680,401,1097,599,0
1774920688.9475248,650,680,401,1096,599,0
1774920688.9549646,650,680,401,1096,599,0
1774920688.962405,650,680,401,1096,599,0
1774920688.9703412,650,680,401,1096,599,0
1774920688.9777806,650,680,401,1097,599,0
1774920688.9867089,650,680,401,1097,599,0
1774920688.9946444,650,680,401,1096,599,0
1774920689.0030768,650,680,401,1096,599,0
1774920689.010517,650,680,401,1096,599,0
1774920689.0184526,650,680,401,1096,599,0
1774920689.0258934,650,680,401,1097,599,0
1774920689.0338285,650,680,401,1097,599,0
1774920689.0412686,650,680,401,1097,599,0
1774920689.0501966,650,680,401,1097,599,0
1774920689.0591245,650,680,401,1098,599,0
1774920689.0670605,650,680,401,1098,599,0
1774920689.0749965,650,680,401,1097,599,0
1774920689.0829327,650,680,401,1097,599,0
1774920689.092357,650,680,401,1097,599,0
